brand,model,year,milage,transmission,accident,fuel_type,ext_col,int_col,price
Acura,NSX Base,2018,6523.0,Automatic,None reported,Hybrid,White,Ebony,143900.0
Acura,NSX Base,1993,75980.0,Automatic,None reported,\'e2\'80\'93,Silver,Black,90200.0
Acura,TLX Type S PMC Edition,2023,13600.0,Automatic,None reported,Gasoline,Blue,White,65000.0
Acura,MDX w/Advance Package,2023,3708.0,Automatic,None reported,Gasoline,White,Espresso,58998.0
Acura,MDX w/Technology Package,2023,3415.0,na,None reported,Gasoline,White,Parchment.,54998.0
Acura,TLX Type S w/Performance Tire,2023,1798.0,Automatic,None reported,Gasoline,Black,Black,53000.0
Acura,TLX Type S w/Performance Tire,2023,4700.0,Automatic,None reported,Gasoline,Red,Black,52000.0
Acura,RDX w/A-Spec Package,2023,3959.0,Automatic,None reported,Gasoline,White,Black,48998.0
Acura,MDX Technology,2022,15895.0,Automatic,None reported,Gasoline,Majestic Black Pearl,Parchment,47950.0
Acura,MDX w/Technology Package,2022,30177.0,na,None reported,Gasoline,Majestic Black Pearl,Espresso,46598.0
Acura,TLX PMC Edition,2020,6900.0,Automatic,None reported,Gasoline,Red,Black,43500.0
Acura,TLX Tech,2023,2118.0,Automatic,None reported,Gasoline,Red,Black,41998.0
Acura,MDX Sport Hybrid 3.0L w/Technology Package,2019,56778.0,Automatic,None reported,Hybrid,Black,Black,41899.0
Acura,RDX PMC Edition,2021,44457.0,na,None reported,Gasoline,Majestic Black Pearl,Ebony,40598.0
Acura,TLX w/A-Spec Package,2022,14896.0,na,None reported,Gasoline,Lunar Silver Metallic,Ebony,39998.0
Acura,RDX w/Advance Package,2021,36267.0,Automatic,None reported,Gasoline,White,Parchment,39798.0
Acura,RDX Advance Package,2021,29000.0,Automatic,None reported,Gasoline,Black,Black,39650.0
Acura,TLX A-Spec,2021,16878.0,Automatic,None reported,Gasoline,Red,Ebony,38781.0
Acura,TLX,2023,3389.0,Automatic,None reported,Gasoline,Platinum White Pearl,Black,38598.0
Acura,RDX Technology Package,2020,31015.0,Automatic,None reported,Gasoline,Silver,Ebony,36570.0
Acura,Integra w/A-Spec Tech Package,2023,3574.0,na,None reported,Gasoline,Apex Blue,Orchid,34998.0
Acura,MDX 3.7L Advance,2013,20750.0,Automatic,None reported,Gasoline,Black,Black,33000.0
Acura,TLX A-Spec,2020,32500.0,Automatic,None reported,Gasoline,White,Red,32000.0
Acura,TLX V6 Advance,2019,25779.0,Automatic,At least 1 accident or damage reported,Gasoline,Platinum White Pearl,Ebony,30999.0
Acura,MDX 3.5L w/Technology Package,2019,90605.0,Automatic,None reported,Gasoline,White,Parchment,27698.0
Acura,ILX Premium Package,2022,16120.0,Automatic,None reported,Gasoline,Gray,Ebony,26599.0
Acura,ILX Premium Package,2019,37900.0,Automatic,None reported,Gasoline,White,Black,26000.0
Acura,ILX Premium & A-SPEC Packages,2019,19500.0,Automatic,None reported,Gasoline,Gray,Black,25000.0
Acura,MDX 3.5L w/Advance & Entertainment Pkgs,2017,79884.0,Automatic,At least 1 accident or damage reported,Gasoline,Gray,Graystone,24840.0
Acura,TL Technology,2013,40000.0,Automatic,None reported,Gasoline,Blue,Gray,24000.0
Acura,RDX Base,2018,68425.0,Automatic,At least 1 accident or damage reported,Gasoline,Gray,\'e2\'80\'93,23500.0
Acura,TLX V6 Tech,2015,38000.0,Automatic,None reported,Gasoline,White,Black,21900.0
Acura,ILX Technology Plus Package,2016,61000.0,Automatic,At least 1 accident or damage reported,Gasoline,Black,Black,21000.0
Acura,ILX Premium Package,2018,32260.0,Automatic,None reported,Gasoline,Black,Black,20999.0
Acura,TLX V6 Advance,2016,128000.0,Automatic,None reported,Gasoline,Gray,Black,19500.0
Acura,ZDX Base,2012,106335.0,Automatic,None reported,Gasoline,White,Gray,19000.0
Acura,RDX,2016,132252.0,Automatic,None reported,Gasoline,Crystal Black,Black,18998.0
Acura,MDX 3.5L Technology Package,2014,111650.0,Automatic,At least 1 accident or damage reported,Gasoline,Green,Beige,17500.0
Acura,TLX Base,2016,45000.0,Automatic,None reported,Gasoline,Gray,Blue,16500.0
Acura,TL Type S,2008,116500.0,Manual,None reported,Gasoline,Red,Black,15999.0
Acura,ILX Technology Plus Package,2017,68200.0,na,At least 1 accident or damage reported,Gasoline,Black,\'e2\'80\'93,15750.0
Acura,TL Technology,2013,89190.0,Automatic,At least 1 accident or damage reported,Gasoline,Gray,White,15499.0
Acura,RLX Advance Package,2016,102665.0,Automatic,None reported,Gasoline,Black,Black,15450.0
Acura,TL 3.7,2012,70000.0,Automatic,At least 1 accident or damage reported,Gasoline,Black,Black,15051.0
Acura,RSX Type S,2006,71400.0,Manual,na,Gasoline,Black,Gray,14990.0
Acura,ILX 2.4L,2016,136397.0,na,None reported,Gasoline,Silver,Ebony.,14798.0
Acura,ILX 2.0L w/Premium Package,2015,75000.0,Automatic,None reported,Gasoline,Gold,Beige,14500.0
Acura,ZDX Base,2010,123000.0,na,At least 1 accident or damage reported,Gasoline,Black,Black,13888.0
Acura,MDX 3.7L Advance,2011,137200.0,na,None reported,Gasoline,White,Gray,12000.0
Acura,TL Type S,2008,122000.0,na,None reported,Gasoline,Gray,Beige,11500.0
Acura,ILX 2.0L w/Premium Package,2013,198000.0,na,At least 1 accident or damage reported,Gasoline,White,Black,11000.0
Acura,Integra GS-R,1995,123000.0,Manual,None reported,\'e2\'80\'93,White,Blue,10999.0
Acura,RL Technology,2010,97700.0,na,None reported,Gasoline,Blue,Beige,10995.0
Acura,TL 3.2,2008,193783.0,Automatic,At least 1 accident or damage reported,Gasoline,Black,Black,10000.0
Acura,TSX 2.4,2010,116000.0,Manual,At least 1 accident or damage reported,Gasoline,Silver,Black,9000.0
Acura,RSX Type S,2002,80000.0,Manual,At least 1 accident or damage reported,Gasoline,Beige,Beige,8500.0
Acura,TSX Base,2005,151600.0,Manual,None reported,Gasoline,Black,Black,7899.0
Acura,MDX Sport,2007,183455.0,Automatic,At least 1 accident or damage reported,Gasoline,White,Beige,7700.0
Acura,RSX Base,2005,186040.0,Automatic,At least 1 accident or damage reported,Gasoline,Gray,Beige,6700.0
Acura,Integra LS,1998,120000.0,Automatic,At least 1 accident or damage reported,Gasoline,Red,\'e2\'80\'93,5500.0
Acura,TSX Technology,2011,187883.0,Automatic,None reported,Gasoline,Red,Beige,5500.0
Acura,MDX Technology,2008,184421.0,Automatic,None reported,Gasoline,Gray,Black,5000.0
Acura,TL 3.2,2005,199296.0,Automatic,None reported,Gasoline,Black,Gray,4900.0
Acura,MDX Touring,2003,165000.0,Automatic,At least 1 accident or damage reported,Gasoline,Silver,Black,4000.0
Alfa,Romeo Giulia Quadrifoglio,2022,1966.0,Automatic,None reported,Gasoline,Verde,Black,75900.0
Alfa,Romeo Giulia Quadrifoglio,2021,10558.0,Automatic,None reported,Gasoline,White,Black,75000.0
Alfa,Romeo Stelvio Quadrifoglio,2019,26500.0,Automatic,None reported,Gasoline,Gray,Black,53900.0
Alfa,Romeo Giulia Ti,2023,9275.0,Automatic,None reported,Gasoline,Alfa White,Black,43900.0
Alfa,Romeo Stelvio Ti,2023,6645.0,Automatic,None reported,Gasoline,Alfa White,Black,43900.0
Alfa,Romeo Giulia Quadrifoglio,2018,28644.0,Automatic,na,Gasoline,Black,Black,41500.0
Alfa,Romeo Giulia Ti,2021,2000.0,Automatic,None reported,Gasoline,Blue,Brown,39000.0
Alfa,Romeo Stelvio Ti Sport,2020,18665.0,Automatic,None reported,Gasoline,Lunare White Metallic,Ice,35645.0
